id;nombre;ubicacion;presupuesto
1;mallard liquid;if indeed monthly;headline
2;quixotic formation catalyze;regarding scare yuck;remark
3;elegantly;humor;unscramble hoick approach
4;down bludgeon modulo;till recklessly;apropos
5;stranger;against grouchy rotating;stiff
6;incandescence cinema alongside;unabashedly pish;smog knavishly even
7;newsprint scorn;broadly;pearl from
8;though;breakable excepting;fuzzy vicinity
9;eek underpants by;sympathetically;before though
10;tabulate amongst ceramics;opposite;role though inside
